"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2414","","hypothetical protein","66","82","232","39","22.14765100671141","32.231404958677686","0.1353027754415475","4.084962166063434e-18","1.4383151786709352e-14","1.917753571561247e-16","14","7","10","0.1795654296875","1.0"
"group_1916","","hypothetical protein","172","16","126","105","57.71812080536913","86.77685950413223","8.958333333333334","7.847115906670879e-18","2.7629695107388165e-14","3.635486198340548e-16","16","11","7","0.210113525390625","0.803619384765625"
"group_1847","","hypothetical protein","165","115","133","6","55.369127516778526","4.958677685950414","0.06472703497875122","1.2418601365350774e-17","4.372589540740007e-14","5.465736925925009e-16","2","2","1","0.5","1.0"
"group_1856","","hypothetical protein","165","115","133","6","55.369127516778526","4.958677685950414","0.06472703497875122","1.2418601365350774e-17","4.372589540740007e-14","5.465736925925009e-16","2","2","1","0.5","1.0"
"yhaV","","Ribonuclease toxin YhaV","165","115","133","6","55.369127516778526","4.958677685950414","0.06472703497875122","1.2418601365350774e-17","4.372589540740007e-14","5.465736925925009e-16","2","2","1","0.5","1.0"
"group_535","","hypothetical protein","165","115","133","6","55.369127516778526","4.958677685950414","0.06472703497875122","1.2418601365350774e-17","4.372589540740007e-14","5.465736925925009e-16","2","2","1","0.5","1.0"
"group_2005","","hypothetical protein","30","59","268","62","10.06711409395973","51.2396694214876","0.11763217809258791","4.8730523620270773e-17","1.715801736669734e-13","2.1182737489749803e-15","11","6","9","0.0654296875","1.0"
"parA","","Chromosome partitioning protein ParA","163","114","135","7","54.69798657718121","5.785123966942149","0.07413905133203379","4.9803649688602925e-17","1.753586505535709e-13","2.1385201287020843e-15","3","2","2","1.0","1.0"
"group_1180","","hypothetical protein","164","114","134","7","55.033557046979865","5.785123966942149","0.07515056297460068","6.079093707097192e-17","2.1404488942689213e-13","2.5481534455582398e-15","2","2","1","0.5","1.0"
"group_939","","ParB-like nuclease domain protein","164","114","134","7","55.033557046979865","5.785123966942149","0.07515056297460068","6.079093707097192e-17","2.1404488942689213e-13","2.5481534455582398e-15","2","2","1","0.5","1.0"
