,0
1033,group_2541
1034,group_1440
1035,group_1285
1036,group_2991
1037,group_2257
1038,group_912
1039,group_362
1040,group_1764
1041,group_1763
1042,group_804
1043,group_2625
1044,group_3619
1045,group_1583
1046,group_2559
1047,group_2713
1048,group_3403
1049,group_3411
1050,group_1587
1051,group_278
1052,group_1277
1053,group_3577
1054,group_2990
1055,group_3620
1056,group_2560
1057,group_2336
1058,group_3564
1059,group_3404
1060,group_1558
1061,group_2436
1062,group_2295
1063,group_2996
1064,group_3059
1065,group_3617
1066,group_1854
1067,group_1481
1068,group_3401
1069,group_2998
1070,group_3566
1071,group_1529
1072,group_2177
1073,group_1948
1074,group_18
1075,group_439
1076,group_2469
1077,group_2464
1078,group_2789
1079,group_3624
1080,group_2995
1081,group_2721
1082,group_3738
1083,group_1004
1084,group_2314
1085,group_3671
1086,group_2571
1087,group_3621
1088,group_3563
1089,group_3785
1090,group_1640
1091,group_1679
1092,group_2503
1093,group_3786
1094,group_1483
1095,group_1259
1096,group_3250
1097,group_1517
1098,group_4114
1099,group_3616
1100,group_605
1101,group_3769
1102,group_3625
1103,group_957
1104,group_3788
1105,group_3133
1106,group_3562
1107,group_2549
1108,group_3000
1109,group_966
1110,group_971
1111,group_3768
1112,group_3789
1113,group_1286
1114,group_3130
1115,group_3623
1116,group_2502
1117,group_3826
1118,group_3782
1119,group_3781
1120,group_84
1121,group_640
1122,group_75
1123,group_348
1124,group_643
1125,group_3565
1126,group_2635
1127,group_1382
1128,group_3767
1129,group_958
1130,group_3790
1131,group_1469
1132,group_3780
1133,cstA_2
1134,group_3828
1135,group_3400
1136,group_3132
1137,group_3712
1138,group_1465
1139,group_1620
1140,group_3784
1141,group_628
1142,group_2463
1143,traI
1144,ybcO
1145,group_2634
1146,group_998
1147,group_3825
1148,group_437
1149,traL
1150,group_934
1151,group_1184
1152,group_1515
1153,ssbB
1154,group_3129
1155,group_3791
1156,group_3829
1157,group_2451
1158,group_3736
1159,group_1560
1160,group_125
1161,hin
1162,group_2473
1163,group_3787
1164,group_1681
1165,group_1631
1166,group_1005
1167,group_930
1168,traM
1169,group_2278
1170,group_3830
1171,group_2639
1172,group_3084
1173,group_1516
1174,group_2478
1175,group_483
1176,group_653
1177,group_3483
1178,group_963
1179,group_3427
1180,group_3831
1181,korB
1182,group_401
1183,group_2482
1184,group_3482
1185,group_1511
1186,group_3428
1187,traG
1188,group_3832
1189,group_3510
1190,group_3284
1191,group_972
1192,group_2647
1193,group_3081
1194,group_981
1195,group_280
1196,group_272
1197,group_3414
1198,group_3827
1199,cysNC
1200,group_993
1201,group_3350
1202,group_3509
1203,group_2621
1204,group_1121
1205,group_3426
1206,group_3481
1207,group_3317
1208,group_1864
1209,group_1591
1210,group_2628
1211,group_1936
1212,group_3415
1213,group_3334
1214,group_2831
1215,group_3075
1216,group_1621
1217,group_1603
1218,group_2271
1219,group_1208
1220,group_1947
1221,group_2476
1222,group_3508
1223,group_2252
1224,group_2270
1225,group_2470
1226,group_1518
1227,group_2678
1228,group_2629
1229,group_2880
1230,group_2667
1231,group_3512
1232,group_2649
1233,group_3333
1234,group_3082
1235,group_2599
1236,group_2593
1237,group_3704
1238,group_645
1239,group_1863
1240,group_2063
1241,group_2475
1242,group_2595
1243,group_3513
1244,group_1552
1245,group_2650
1246,group_3812
1247,group_2812
1248,group_2602
1249,group_3691
1250,group_1755
1251,group_1574
1252,mobA_2
1253,bla
1254,group_3690
1255,group_3462
1256,group_297
